	Gender	Age	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
468	f	>23	third	B	North	highschool-art	yes	low	low	mid	mid	mid	High	Low	High	Low	High	Low	High	Low
469	f	>23	third	C+	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
470	f	>23	third	B	North	highschool-art	yes	mid	mid	mid	mid	high	Low	High	Low	High	Mid	Mid	Mid	Mid
471	f	>23	third	B	North	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
472	m	>23	forth	B	Central	highschool-mathsci	yes	low	high	high	mid	high	High	Low	Low	High	High	Low	Mid	Mid
473	LGBT	>23	forth	C+	Central	highschool-mathsci	yes	low	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
474	f	>23	forth	C+	Central	highschool-mathsci	no	mid	high	mid	high	low	Mid	Mid	High	Low	Low	High	Mid	Mid
475	LGBT	>23	forth	B	Central	highschool-mathsci	no	mid	mid	high	low	high	High	Low	High	Low	Mid	Mid	Mid	Mid
476	LGBT	>23	forth	B	Central	highschool-mathsci	yes	mid	mid	low	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
477	f	>23	forth	C+	Central	highschool-mathsci	yes	mid	high	low	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
478	f	>23	forth	B	Central	highschool-mathsci	yes	mid	high	mid	high	low	High	Low	Mid	Mid	High	Low	Mid	Mid
479	f	>23	forth	B	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
480	f	>23	forth	C+	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
481	LGBT	>23	forth	B	Central	highschool-mathsci	yes	high	mid	mid	low	low	Mid	Mid	Mid	Mid	High	Low	High	Low
482	f	>23	third	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
483	f	>23	third	B	NorthEast	highschool-art	yes	high	high	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
484	f	>23	third	B	NorthEast	highschool-art	no	low	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
485	f	>23	third	B	NorthEast	highschool-art	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Low	High
486	f	>23	third	B+	NorthEast	highschool-art	yes	low	low	mid	mid	mid	High	Low	Low	High	High	Low	High	Low
487	f	>23	third	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
488	f	>23	third	B	NorthEast	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
489	LGBT	>23	third	B	NorthEast	highschool-art	yes	mid	mid	mid	low	low	High	Low	Mid	Mid	High	Low	High	Low
490	LGBT	>23	third	C+	NorthEast	highschool-art	yes	low	mid	low	high	mid	High	Low	Low	High	High	Low	Mid	Mid
491	LGBT	>23	third	B	NorthEast	highschool-art	no	low	low	low	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
492	m	>23	third	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	low	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
493	m	23-28	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
494	m	>23	third	B	NorthEast	highschool-mathsci	yes	mid	mid	low	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
495	m	23-28	forth	B	North	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
496	m	>23	third	C+	NorthEast	highschool-mathsci	yes	mid	low	mid	low	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
497	m	>23	second	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
498	m	>23	first	B+	Central	vocational	yes	high	mid	high	mid	mid	High	Low	Low	High	High	Low	High	Low
499	m	>23	third	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
500	LGBT	>23	first	B+	Central	vocational	yes	high	high	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
501	f	>23	third	B	NorthEast	highschool-mathsci	no	mid	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
502	m	>23	third	B	NorthEast	highschool-mathsci	no	low	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
503	m	23-28	completed	B+	North	highvocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
504	m	>23	third	C+	NorthEast	highschool-mathsci	no	low	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
505	m	>23	third	C+	NorthEast	highschool-mathsci	no	low	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
506	m	>23	third	C+	NorthEast	highschool-mathsci	no	mid	mid	low	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
507	LGBT	>23	third	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
508	m	>23	third	C+	NorthEast	highschool-mathsci	yes	low	mid	mid	high	high	High	Low	High	Low	High	Low	Mid	Mid
509	m	>23	third	B	NorthEast	highschool-mathsci	yes	mid	low	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
510	m	29-34	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
511	f	29-34	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
512	f	29-34	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
513	f	23-28	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
514	m	29-34	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
515	f	35+	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
516	f	23-28	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
517	f	23-28	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
518	m	23-28	completed	C	South	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Low	High
519	m	>23	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
520	f	29-34	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
521	m	29-34	completed	C+	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
522	f	23-28	completed	C+	East	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Low	High
523	f	29-34	completed	C+	Central	highschool-art	no	high	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
524	f	23-28	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
525	f	23-28	completed	B+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
526	m	>23	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
527	m	23-28	third	A	South	highschool-mathsci	no	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
528	f	>23	third	B	East	highschool-mathsci	no	high	high	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
529	f	29-34	completed	C+	NorthEast	highschool-mathsci	no	mid	high	low	mid	high	Low	High	Low	High	Low	High	High	Low
530	f	29-34	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
531	f	>23	third	B	South	highschool-mathsci	yes	mid	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
532	f	23-28	completed	C+	NorthEast	highschool-art	yes	mid	high	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
533	f	23-28	completed	B	NorthEast	highschool-mathsci	yes	mid	high	high	high	mid	High	Low	Mid	Mid	Low	High	High	Low
534	f	>23	third	B+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Low	High	Low	High
535	f	23-28	completed	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
536	m	23-28	completed	C+	NorthEast	highschool-art	no	high	low	high	high	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
537	f	23-28	completed	B	NorthEast	highschool-mathsci	yes	mid	mid	high	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
538	f	>23	third	B	Central	highschool-art	yes	high	mid	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
539	f	>23	third	B	Central	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
540	f	35+	completed	B	Central	highschool-art	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
541	f	23-28	forth	C+	Central	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
542	m	>23	third	C	South	highschool-mathsci	yes	mid	mid	mid	mid	mid	Low	High	Mid	Mid	High	Low	Low	High
543	m	>23	third	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
544	m	>23	completed	B	Central	highschool-mathsci	no	mid	mid	mid	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
545	m	23-28	completed	B	Central	vocational	yes	high	low	mid	mid	high	Low	High	Mid	Mid	Mid	Mid	High	Low
546	f	>23	completed	B	Central	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
547	m	23-28	completed	B+	Central	highschool-mathsci	yes	low	mid	mid	mid	low	Low	High	Mid	Mid	Low	High	Low	High
548	f	>23	forth	C+	NorthEast	highschool-mathsci	no	mid	low	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
549	LGBT	23-28	completed	B	NorthEast	highschool-art	yes	high	high	high	mid	low	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
550	f	>23	completed	B	Central	highschool-mathsci	no	high	mid	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
551	f	>23	completed	B	Central	highschool-mathsci	yes	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
552	f	23-28	forth	C+	South	highschool-mathsci	no	high	low	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
553	m	>23	forth	C+	NorthEast	highschool-mathsci	no	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
554	f	>23	completed	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
555	f	23-28	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
556	f	29-34	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
557	f	23-28	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
558	f	>23	third	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
559	f	>23	second	C	South	highschool-art	yes	low	high	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
560	f	>23	completed	B	Central	highschool-mathsci	yes	low	high	mid	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
561	f	>23	third	B	East	highschool-mathsci	no	mid	mid	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
562	f	>23	completed	B	NorthEast	highschool-mathsci	no	high	low	low	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
563	LGBT	>23	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Low	High
564	LGBT	>23	third	C+	East	highschool-mathsci	yes	high	mid	mid	mid	mid	Low	High	High	Low	Low	High	Low	High
565	f	>23	forth	C+	North	highschool-mathsci	yes	mid	mid	mid	low	high	Mid	Mid	High	Low	High	Low	Mid	Mid
566	m	23-28	completed	B	NorthEast	highschool-mathsci	no	high	mid	mid	mid	low	Mid	Mid	Low	High	Low	High	Mid	Mid
567	f	23-28	completed	B	Central	highschool-art	yes	mid	low	mid	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
568	f	23-28	completed	C+	NorthEast	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
569	f	>23	second	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
570	f	23-28	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	high	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
571	f	>23	completed	B+	Central	highschool-mathsci	no	mid	mid	high	high	high	Low	High	Mid	Mid	Low	High	Low	High
572	LGBT	23-28	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
573	f	>23	completed	B	Central	highschool-mathsci	no	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
574	f	29-34	completed	C+	Central	highschool-mathsci	no	high	mid	mid	high	high	High	Low	Low	High	High	Low	Mid	Mid
575	f	29-34	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
576	f	35+	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
577	f	29-34	completed	C+	Central	highschool-mathsci	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
578	m	29-34	completed	C+	NorthEast	highschool-mathsci	yes	high	low	low	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
579	m	23-28	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	High	Low
580	m	29-34	completed	C	Central	highvocational	yes	high	high	high	high	high	High	Low	Low	High	High	Low	Mid	Mid
581	f	29-34	completed	C+	Central	highschool-mathsci	no	high	low	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
582	f	>23	forth	B+	Central	highschool-mathsci	yes	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
583	m	35+	completed	B	East	highschool-mathsci	no	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
584	f	23-28	completed	B+	NorthEast	highschool-mathsci	yes	high	high	mid	high	mid	Mid	Mid	Low	High	Low	High	Mid	Mid
585	f	>23	third	B+	NorthEast	highschool-mathsci	no	high	low	high	low	high	High	Low	Low	High	Mid	Mid	Mid	Mid
586	m	23-28	completed	C+	Central	highschool-mathsci	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
587	m	29-34	completed	C+	Central	highschool-mathsci	no	high	mid	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
588	f	23-28	completed	B	NorthEast	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Low	High	Low	High
589	m	23-28	completed	B	Central	highschool-mathsci	no	high	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
590	f	29-34	completed	C+	Central	highschool-mathsci	yes	high	low	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
591	f	29-34	completed	C	Central	highschool-mathsci	no	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
592	f	23-28	completed	B	West	highschool-mathsci	yes	mid	high	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
593	m	29-34	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
594	f	29-34	completed	B	South	highschool-mathsci	no	mid	high	mid	high	low	Mid	Mid	Mid	Mid	Low	High	Low	High
595	f	29-34	completed	C	East	highschool-art	no	high	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
596	m	29-34	completed	B	Central	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
597	f	29-34	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
598	f	>23	first	C+	South	vocational	yes	high	mid	high	high	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
599	f	23-28	completed	C+	West	highschool-mathsci	no	high	high	high	high	high	Low	High	High	Low	Low	High	Mid	Mid
600	f	23-28	forth	C	NorthEast	highschool-mathsci	no	high	mid	high	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
601	m	35+	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
602	f	29-34	completed	B+	Central	highschool-mathsci	no	mid	high	mid	mid	mid	Mid	Mid	High	Low	High	Low	High	Low
603	f	>23	first	B+	North	highschool-mathsci	no	high	low	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
604	f	>23	second	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	High	Low	High	Low
605	f	>23	first	B	Central	highschool-mathsci	no	mid	mid	mid	mid	high	Low	High	Mid	Mid	High	Low	Low	High
606	f	>23	first	C+	South	highschool-mathsci	no	high	low	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Low	High
607	m	>23	second	B+	East	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
608	m	>23	second	C	West	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
609	f	>23	first	C+	Central	highschool-mathsci	yes	low	low	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
610	m	>23	second	C+	Central	highschool-mathsci	no	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Low	High
611	f	>23	second	C+	Central	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
612	f	>23	first	C+	South	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
613	m	>23	second	B+	Central	highschool-mathsci	yes	high	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
614	LGBT	>23	second	C+	West	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
615	f	>23	first	C	Central	highschool-mathsci	yes	mid	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
616	f	>23	first	B	East	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
617	m	>23	first	C+	South	highschool-mathsci	yes	high	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
618	f	>23	first	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Low	High	Low	High
619	f	>23	first	C	West	highschool-mathsci	no	mid	low	high	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
620	m	>23	first	B	Central	highschool-mathsci	yes	high	low	high	mid	mid	Low	High	Low	High	High	Low	Low	High
621	f	>23	second	C+	Central	highschool-mathsci	no	high	high	high	mid	high	High	Low	Mid	Mid	Low	High	High	Low
622	f	>23	second	B	South	highschool-mathsci	no	high	mid	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
623	f	>23	first	C+	South	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
624	m	>23	first	C+	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	High	Low
625	m	>23	second	C+	South	highschool-mathsci	yes	high	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
626	f	>23	second	C	North	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
627	m	>23	first	B+	East	highschool-mathsci	yes	high	low	mid	mid	high	Low	High	Low	High	High	Low	Mid	Mid
628	f	>23	second	C+	East	highschool-mathsci	yes	high	low	mid	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
629	m	>23	second	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
630	f	29-34	completed	C	South	highschool-art	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Low	High
631	f	>23	second	C+	NorthEast	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Low	High	Low	High	High	Low
632	m	>23	second	C	Central	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Low	High
633	f	>23	second	C+	Central	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
634	m	>23	third	C	NorthEast	highschool-mathsci	yes	low	mid	high	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
635	f	>23	third	C+	Central	highschool-mathsci	no	low	high	mid	mid	mid	Mid	Mid	Low	High	Mid	Mid	Low	High
636	f	>23	first	B	Central	highschool-mathsci	yes	high	mid	mid	mid	high	High	Low	Low	High	Low	High	Low	High
637	m	>23	first	B+	Central	highschool-mathsci	no	high	low	low	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
638	f	>23	first	B	NorthEast	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
639	f	>23	first	B	Central	highschool-mathsci	yes	mid	mid	mid	mid	high	High	Low	Low	High	Low	High	Mid	Mid
640	f	>23	second	C+	South	highschool-mathsci	no	high	low	high	mid	high	Low	High	High	Low	Mid	Mid	Mid	Mid
641	m	>23	second	C	East	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
642	f	>23	second	C	West	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
643	f	>23	first	B	South	highschool-mathsci	no	mid	low	high	mid	mid	Low	High	Mid	Mid	High	Low	High	Low
644	LGBT	>23	second	C+	East	highschool-mathsci	yes	high	mid	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
645	f	>23	second	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
646	f	>23	first	C	Central	highschool-mathsci	no	mid	low	high	mid	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
647	m	>23	first	C+	Central	highschool-mathsci	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
648	m	>23	first	B	West	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
649	m	>23	third	C+	Central	highschool-mathsci	yes	mid	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
650	m	>23	second	B	NorthEast	highschool-mathsci	no	high	mid	high	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
651	m	>23	second	B+	Central	highschool-mathsci	no	high	mid	high	mid	high	Mid	Mid	High	Low	Low	High	Mid	Mid
652	m	>23	first	B	East	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Low	High	High	Low
653	m	>23	first	C+	South	highschool-mathsci	no	high	mid	mid	mid	high	Low	High	Low	High	High	Low	Low	High
654	m	>23	first	B+	Central	highschool-mathsci	no	mid	high	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
655	f	>23	first	B	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
656	f	>23	first	C	East	highschool-mathsci	yes	high	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
657	m	>23	third	C+	NorthEast	highschool-mathsci	no	mid	high	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Low	High
658	f	>23	first	B	Central	highschool-mathsci	yes	mid	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
659	f	>23	second	B	NorthEast	highschool-mathsci	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
660	m	>23	third	C+	East	highschool-mathsci	yes	mid	low	mid	mid	high	High	Low	Low	High	Mid	Mid	High	Low
661	m	>23	first	C+	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Low	High	Low	High	Mid	Mid
662	m	>23	second	B	West	highschool-mathsci	yes	high	mid	high	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
663	m	35+	completed	C	NorthEast	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
664	f	>23	second	C	Central	highschool-mathsci	no	mid	low	mid	high	high	Low	High	Mid	Mid	Low	High	Low	High
665	m	>23	first	C+	NorthEast	highschool-mathsci	yes	high	low	mid	high	high	High	Low	Mid	Mid	Low	High	Low	High
666	f	29-34	completed	B	Central	highschool-mathsci	no	high	low	high	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
667	f	>23	first	C	South	highschool-mathsci	yes	high	mid	high	high	high	Low	High	Low	High	High	Low	Low	High
668	f	>23	second	C+	Central	highschool-mathsci	no	high	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
669	f	>23	second	A	Central	highschool-mathsci	no	mid	high	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
670	m	>23	first	B+	Central	highschool-mathsci	yes	low	mid	high	mid	mid	Low	High	Low	High	High	Low	High	Low
671	f	>23	second	C+	NorthEast	highschool-mathsci	no	high	low	high	mid	high	High	Low	Low	High	High	Low	Mid	Mid
672	m	>23	first	B+	North	highschool-mathsci	no	high	low	mid	high	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
673	f	>23	first	C	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
674	f	>23	first	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
675	m	35+	completed	C+	South	bachelor	no	high	low	high	high	high	Low	High	Mid	Mid	High	Low	High	Low
676	m	>23	first	C+	East	highschool-mathsci	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
677	LGBT	>23	first	C+	East	highschool-mathsci	yes	high	high	high	mid	high	Mid	Mid	Low	High	High	Low	Mid	Mid
678	m	>23	second	B	Central	highschool-mathsci	yes	mid	high	high	high	high	High	Low	High	Low	High	Low	Mid	Mid
679	f	>23	first	B	South	highschool-mathsci	yes	mid	mid	mid	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
680	f	23-28	completed	B+	Central	vocational	yes	high	mid	high	high	high	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
681	f	23-28	second	C+	NorthEast	non-formal	no	mid	high	mid	high	high	Low	High	High	Low	Mid	Mid	Mid	Mid
682	m	>23	first	C+	NorthEast	highschool-mathsci	no	mid	high	high	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
683	f	23-28	completed	B	South	vocational	yes	high	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
