Gender	Age	major	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	E	I	S	N	T	F	J	P
f	>23	Arts & Humanities	third	B	North	highschool-art	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
f	>23	Arts & Humanities	third	B	North	highschool-art	yes	low	low	mid	mid	mid	High	Low	High	Low	High	Low	High	Low
f	>23	Arts & Humanities	third	C+	North	highschool-art	yes	mid	mid	low	mid	mid	Mid	Mid	Mid	Mid	High	Low	Low	High
f	>23	Arts & Humanities	third	B	North	highschool-art	yes	mid	mid	mid	mid	high	Low	High	Low	High	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	third	B	North	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	>23	Business and Law	forth	B	Central	highschool-mathsci	yes	low	high	high	mid	high	High	Low	Low	High	High	Low	Mid	Mid
LGBT	>23	Business and Law	forth	C+	Central	highschool-mathsci	yes	low	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	forth	C+	Central	highschool-mathsci	no	mid	high	mid	high	low	Mid	Mid	High	Low	Low	High	Mid	Mid
LGBT	>23	Business and Law	forth	B	Central	highschool-mathsci	no	mid	mid	high	low	high	High	Low	High	Low	Mid	Mid	Mid	Mid
LGBT	>23	Business and Law	forth	B	Central	highschool-mathsci	yes	mid	mid	low	high	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
f	>23	Business and Law	forth	C+	Central	highschool-mathsci	yes	mid	high	low	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
f	>23	Business and Law	forth	B	Central	highschool-mathsci	yes	mid	high	mid	high	low	High	Low	Mid	Mid	High	Low	Mid	Mid
f	>23	Business and Law	forth	B	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Business and Law	forth	C+	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
LGBT	>23	Business and Law	forth	B	Central	highschool-mathsci	yes	high	mid	mid	low	low	Mid	Mid	Mid	Mid	High	Low	High	Low
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	mid	high	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	high	high	mid	mid	low	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	no	low	mid	mid	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	mid	low	low	low	mid	Mid	Mid	Low	High	Mid	Mid	Low	High
f	>23	Arts & Humanities	third	B+	NorthEast	highschool-art	yes	low	low	mid	mid	mid	High	Low	Low	High	High	Low	High	Low
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	mid	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
f	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
LGBT	>23	Arts & Humanities	third	B	NorthEast	highschool-art	yes	mid	mid	mid	low	low	High	Low	Mid	Mid	High	Low	High	Low
LGBT	>23	Arts & Humanities	third	C+	NorthEast	highschool-art	yes	low	mid	low	high	mid	High	Low	Low	High	High	Low	Mid	Mid
LGBT	>23	Arts & Humanities	third	B	NorthEast	highschool-art	no	low	low	low	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	low	high	Mid	Mid	High	Low	Mid	Mid	Mid	Mid
m	23-28	Social sciences & Journal	forth	B+	East	vocational	yes	high	mid	high	mid	high	High	Low	High	Low	High	Low	High	Low
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	yes	mid	mid	low	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
m	23-28	Engineer & Industrial	forth	B	North	vocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	yes	mid	low	mid	low	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	B	North	vocational	yes	high	high	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Arts & Humanities	first	B+	Central	vocational	yes	high	mid	high	mid	mid	High	Low	Low	High	High	Low	High	Low
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
LGBT	>23	Business and Law	first	B+	Central	vocational	yes	high	high	high	high	high	High	Low	High	Low	Mid	Mid	High	Low
f	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	no	mid	mid	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	no	low	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
m	23-28	Business and Law	completed	B+	North	highvocational	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	no	low	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	High	Low
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	no	low	mid	low	mid	mid	High	Low	Mid	Mid	High	Low	High	Low
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	no	mid	mid	low	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
LGBT	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	yes	low	mid	mid	high	high	High	Low	High	Low	High	Low	Mid	Mid
m	>23	Engineer & Industrial	third	B	NorthEast	highschool-mathsci	yes	mid	low	mid	high	high	High	Low	Mid	Mid	Mid	Mid	High	Low
m	29-34	Health 	completed	B+	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	High	Low	Mid	Mid	Mid	Mid
f	29-34	Health 	completed	B	NorthEast	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Health 	third	B+	North	bachelor	yes	mid	mid	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Health 	second	A	North	bachelor	no	mid	high	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
m	29-34	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	mid	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	35+	Health 	completed	B	Central	non-formal	no	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	23-28	Social sciences & Journal	completed	A	Central	highschool-art	no	mid	high	mid	mid	high	Low	High	Mid	Mid	Low	High	Low	High
f	23-28	Arts & Humanities	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
m	23-28	Engineer & Industrial	completed	C	South	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Low	High
m	>23	ICTs	second	C	Central	highschool-art	no	mid	low	mid	mid	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	29-34	Business and Law	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
m	29-34	Engineer & Industrial	completed	C+	Central	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
f	23-28	Business and Law	completed	C+	East	highschool-mathsci	yes	mid	high	high	high	high	Mid	Mid	Mid	Mid	Low	High	Low	High
f	29-34	Arts & Humanities	completed	C+	Central	highschool-art	no	high	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
f	23-28	Health 	completed	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	Mid	Mid	Low	High
f	23-28	Health 	completed	B+	North	highschool-mathsci	yes	high	high	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	>23	Engineer & Industrial	second	B	Central	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	Mid	Mid	Low	High	High	Low
m	23-28	Health 	third	A	South	highschool-mathsci	no	high	high	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	third	B	East	highschool-mathsci	no	high	high	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	29-34	Health 	completed	C+	NorthEast	highschool-mathsci	no	mid	high	low	mid	high	Low	High	Low	High	Low	High	High	Low
f	29-34	Health 	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Health 	third	B	South	highschool-mathsci	yes	mid	low	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	23-28	Education	completed	C+	NorthEast	highschool-art	yes	mid	high	low	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	23-28	Education	completed	B	NorthEast	highschool-mathsci	yes	mid	high	high	high	mid	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Health 	third	B+	Central	highschool-mathsci	yes	high	high	mid	mid	high	High	Low	Mid	Mid	Low	High	Low	High
f	23-28	Education	completed	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
m	23-28	Education	completed	C+	NorthEast	highschool-art	no	high	low	high	high	mid	High	Low	Low	High	Mid	Mid	Mid	Mid
f	23-28	Education	completed	B	NorthEast	highschool-mathsci	yes	mid	mid	high	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Business and Law	third	B	Central	highschool-art	yes	high	mid	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Health 	third	B	Central	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
f	35+	Business and Law	completed	B	Central	highschool-art	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Mid	Mid
f	23-28	Arts & Humanities	forth	C+	Central	highschool-art	yes	mid	mid	high	mid	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
m	>23	Engineer & Industrial	third	C	South	highschool-mathsci	yes	mid	mid	mid	mid	mid	Low	High	Mid	Mid	High	Low	Low	High
m	>23	Engineer & Industrial	third	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	high	Mid	Mid	Mid	Mid	High	Low	Low	High
m	>23	Health 	completed	B	Central	highschool-mathsci	no	mid	mid	mid	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
m	23-28	Business and Law	completed	B	Central	vocational	yes	high	low	mid	mid	high	Low	High	Mid	Mid	Mid	Mid	High	Low
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	high	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
m	23-28	Health 	completed	B+	Central	highschool-mathsci	yes	low	mid	mid	mid	low	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Health 	forth	C+	NorthEast	highschool-mathsci	no	mid	low	high	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
LGBT	23-28	Education	completed	B	NorthEast	highschool-art	yes	high	high	high	mid	low	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B	Central	highschool-mathsci	no	high	mid	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
f	23-28	Health 	forth	C+	South	highschool-mathsci	no	high	low	high	high	high	High	Low	High	Low	Low	High	Mid	Mid
m	>23	Health 	forth	C+	NorthEast	highschool-mathsci	no	mid	high	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	23-28	Health 	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Social sciences & Journal	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	mid	low	Low	High	High	Low	Low	High	Mid	Mid
f	23-28	ICTs	completed	C+	Central	vocational	no	mid	low	low	low	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Health 	third	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	Low	High	Low	High	Mid	Mid	Mid	Mid
f	>23	Arts & Humanities	second	C	South	highschool-art	yes	low	high	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B	Central	highschool-mathsci	yes	low	high	mid	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Health 	third	B	East	highschool-mathsci	no	mid	mid	mid	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B	NorthEast	highschool-mathsci	no	high	low	low	mid	high	Mid	Mid	Mid	Mid	Low	High	High	Low
LGBT	>23	Health 	completed	C+	Central	highschool-mathsci	yes	mid	mid	mid	high	mid	Low	High	Low	High	Mid	Mid	Low	High
LGBT	>23	Health 	third	C+	East	highschool-mathsci	yes	high	mid	mid	mid	mid	Low	High	High	Low	Low	High	Low	High
f	>23	Engineer & Industrial	forth	C+	North	highschool-mathsci	yes	mid	mid	mid	low	high	Mid	Mid	High	Low	High	Low	Mid	Mid
m	23-28	Education	completed	B	NorthEast	highschool-mathsci	no	high	mid	mid	mid	low	Mid	Mid	Low	High	Low	High	Mid	Mid
f	23-28	Business and Law	completed	B	Central	highschool-art	yes	mid	low	mid	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Education	completed	C+	NorthEast	highschool-art	yes	high	high	high	high	high	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Health 	second	B	NorthEast	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	23-28	Education	completed	C+	NorthEast	highschool-mathsci	yes	mid	high	high	high	mid	Low	High	Mid	Mid	Low	High	Mid	Mid
f	>23	Health 	completed	B+	Central	highschool-mathsci	no	mid	mid	high	high	high	Low	High	Mid	Mid	Low	High	Low	High
LGBT	23-28	Social sciences & Journal	completed	B	Central	vocational	no	high	low	low	high	mid	Mid	Mid	Low	High	High	Low	High	Low
f	>23	Health 	completed	B	Central	highschool-mathsci	no	mid	high	mid	high	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Engineer & Industrial	completed	C+	Central	highschool-mathsci	no	high	mid	mid	high	high	High	Low	Low	High	High	Low	Mid	Mid
f	29-34	Social sciences & Journal	completed	B	West	highschool-mathsci	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	35+	Social sciences & Journal	completed	B	Central	highschool-art	no	mid	low	low	low	mid	High	Low	Low	High	Low	High	Low	High
f	29-34	Health 	completed	C+	Central	highschool-mathsci	yes	low	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	29-34	Engineer & Industrial	completed	C+	NorthEast	highschool-mathsci	yes	high	low	low	mid	high	Mid	Mid	Mid	Mid	High	Low	High	Low
m	23-28	Engineer & Industrial	completed	B	Central	highschool-mathsci	no	high	mid	high	mid	high	Low	High	Mid	Mid	Mid	Mid	High	Low
m	29-34	Engineer & Industrial	completed	C	Central	highvocational	yes	high	high	high	high	high	High	Low	Low	High	High	Low	Mid	Mid
f	29-34	Engineer & Industrial	completed	C+	Central	highschool-mathsci	no	high	low	mid	mid	mid	High	Low	Mid	Mid	High	Low	Mid	Mid
f	>23	Health 	forth	B+	Central	highschool-mathsci	yes	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	35+	Engineer & Industrial	completed	B	East	highschool-mathsci	no	high	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	23-28	Education	completed	B+	NorthEast	highschool-mathsci	yes	high	high	mid	high	mid	Mid	Mid	Low	High	Low	High	Mid	Mid
f	>23	Business and Law	third	B+	NorthEast	highschool-mathsci	no	high	low	high	low	high	High	Low	Low	High	Mid	Mid	Mid	Mid
m	23-28	Health 	completed	C+	Central	highschool-mathsci	yes	high	mid	low	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
m	29-34	Engineer & Industrial	completed	C+	Central	highschool-mathsci	no	high	mid	high	high	high	High	Low	Mid	Mid	Low	High	Low	High
f	23-28	Arts & Humanities	completed	B	NorthEast	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Low	High	Low	High
m	23-28	Engineer & Industrial	completed	B	Central	highschool-mathsci	no	high	low	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Arts & Humanities	completed	C+	Central	highschool-mathsci	yes	high	low	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Sciences & Maths	completed	C	Central	highschool-mathsci	no	high	low	mid	mid	high	Mid	Mid	High	Low	Low	High	Low	High
f	23-28	Sciences & Maths	completed	B	West	highschool-mathsci	yes	mid	high	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	ICTs	completed	C+	NorthEast	highschool-art	yes	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	29-34	Business and Law	completed	B	South	highschool-mathsci	no	mid	high	mid	high	low	Mid	Mid	Mid	Mid	Low	High	Low	High
f	29-34	Arts & Humanities	completed	C	East	highschool-art	no	high	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	29-34	Health 	completed	B	Central	highschool-mathsci	no	mid	high	high	high	high	Mid	Mid	High	Low	Mid	Mid	High	Low
f	29-34	Social sciences & Journal	completed	C	East	highvocational	no	high	mid	mid	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
f	>23	Arts & Humanities	first	C+	South	vocational	yes	high	mid	high	high	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
f	23-28	Business and Law	completed	C+	West	highschool-mathsci	no	high	high	high	high	high	Low	High	High	Low	Low	High	Mid	Mid
f	23-28	Engineer & Industrial	forth	C	NorthEast	highschool-mathsci	no	high	mid	high	high	mid	Mid	Mid	Mid	Mid	Low	High	Mid	Mid
m	35+	ICTs	completed	B	Central	highschool-mathsci	yes	high	low	mid	high	high	Low	High	Mid	Mid	Low	High	Mid	Mid
f	29-34	Arts & Humanities	completed	B+	Central	highschool-mathsci	no	mid	high	mid	mid	mid	Mid	Mid	High	Low	High	Low	High	Low
f	>23	Engineer & Industrial	first	B+	North	highschool-mathsci	no	high	low	high	high	high	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Engineer & Industrial	second	C+	North	highschool-mathsci	yes	mid	high	high	high	high	Low	High	Mid	Mid	High	Low	High	Low
f	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	no	mid	mid	mid	mid	high	Low	High	Mid	Mid	High	Low	Low	High
f	>23	Engineer & Industrial	first	C+	South	highschool-mathsci	no	high	low	high	mid	high	Mid	Mid	High	Low	Mid	Mid	Low	High
m	>23	Engineer & Industrial	second	B+	East	highschool-mathsci	no	mid	low	mid	mid	mid	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	second	C	West	highschool-mathsci	yes	high	mid	mid	high	high	Mid	Mid	Low	High	Mid	Mid	Low	High
f	>23	Engineer & Industrial	first	C+	Central	highschool-mathsci	yes	low	low	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Low	High
m	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	no	mid	high	mid	mid	high	Mid	Mid	Mid	Mid	Low	High	Low	High
f	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	yes	mid	high	mid	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Engineer & Industrial	first	C+	South	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
m	>23	Engineer & Industrial	second	B+	Central	highschool-mathsci	yes	high	mid	high	mid	high	Mid	Mid	Mid	Mid	Mid	Mid	Low	High
LGBT	>23	Engineer & Industrial	second	C+	West	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	>23	Engineer & Industrial	first	C	Central	highschool-mathsci	yes	mid	mid	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Engineer & Industrial	first	B	East	highschool-mathsci	yes	high	high	high	high	high	Mid	Mid	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	first	C+	South	highschool-mathsci	yes	high	high	high	high	mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Engineer & Industrial	first	B	NorthEast	highschool-mathsci	yes	mid	mid	mid	high	mid	Mid	Mid	Low	High	Low	High	Low	High
f	>23	Engineer & Industrial	first	C	West	highschool-mathsci	no	mid	low	high	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	yes	high	low	high	mid	mid	Low	High	Low	High	High	Low	Low	High
f	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	no	high	high	high	mid	high	High	Low	Mid	Mid	Low	High	High	Low
f	>23	Engineer & Industrial	second	B	South	highschool-mathsci	no	high	mid	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
f	>23	Engineer & Industrial	first	C+	South	highschool-mathsci	yes	mid	mid	high	high	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	first	C+	Central	highschool-mathsci	no	mid	mid	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	High	Low
m	>23	Engineer & Industrial	second	C+	South	highschool-mathsci	yes	high	low	mid	mid	mid	Mid	Mid	Mid	Mid	Low	High	Low	High
f	>23	Engineer & Industrial	second	C	North	highschool-mathsci	yes	mid	mid	mid	mid	mid	High	Low	Mid	Mid	Low	High	Mid	Mid
m	>23	Engineer & Industrial	first	B+	East	highschool-mathsci	yes	high	low	mid	mid	high	Low	High	Low	High	High	Low	Mid	Mid
f	>23	Engineer & Industrial	second	C+	East	highschool-mathsci	yes	high	low	mid	mid	high	High	Low	High	Low	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	B	Central	highschool-mathsci	yes	high	high	high	high	high	High	Low	Mid	Mid	Mid	Mid	Low	High
f	29-34	Arts & Humanities	completed	C	South	highschool-art	yes	high	high	high	high	high	High	Low	High	Low	Low	High	Low	High
f	>23	Engineer & Industrial	second	C+	NorthEast	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Low	High	Low	High	High	Low
m	>23	Engineer & Industrial	second	C	Central	highschool-mathsci	yes	high	low	high	high	high	High	Low	Low	High	Mid	Mid	Low	High
f	>23	Engineer & Industrial	second	C+	Central	highschool-mathsci	yes	mid	mid	high	mid	high	High	Low	Low	High	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	third	C	NorthEast	highschool-mathsci	yes	low	mid	high	mid	high	Mid	Mid	High	Low	High	Low	Mid	Mid
f	>23	Engineer & Industrial	third	C+	Central	highschool-mathsci	no	low	high	mid	mid	mid	Mid	Mid	Low	High	Mid	Mid	Low	High
f	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	yes	high	mid	mid	mid	high	High	Low	Low	High	Low	High	Low	High
m	>23	Engineer & Industrial	first	B+	Central	highschool-mathsci	no	high	low	low	mid	mid	Low	High	Mid	Mid	Low	High	Low	High
f	>23	Engineer & Industrial	first	B	NorthEast	highschool-mathsci	yes	high	low	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	yes	mid	mid	mid	mid	high	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Engineer & Industrial	second	C+	South	highschool-mathsci	no	high	low	high	mid	high	Low	High	High	Low	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	C	East	highschool-mathsci	yes	high	mid	mid	high	high	High	Low	Mid	Mid	High	Low	Mid	Mid
f	>23	Engineer & Industrial	second	C	West	highschool-mathsci	no	mid	mid	mid	mid	high	High	Low	Mid	Mid	Low	High	Mid	Mid
f	>23	Engineer & Industrial	first	B	South	highschool-mathsci	no	mid	low	high	mid	mid	Low	High	Mid	Mid	High	Low	High	Low
LGBT	>23	Engineer & Industrial	second	C+	East	highschool-mathsci	yes	high	mid	mid	low	high	Mid	Mid	Mid	Mid	High	Low	Mid	Mid
f	>23	Engineer & Industrial	second	B	Central	highschool-mathsci	yes	mid	high	high	mid	mid	High	Low	Mid	Mid	Mid	Mid	High	Low
f	>23	Engineer & Industrial	first	C	Central	highschool-mathsci	no	mid	low	high	mid	mid	Mid	Mid	Low	High	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	first	C+	Central	highschool-mathsci	yes	mid	mid	high	mid	mid	Mid	Mid	High	Low	Low	High	Mid	Mid
m	>23	Engineer & Industrial	first	B	West	highschool-mathsci	no	high	high	high	high	high	Mid	Mid	High	Low	Low	High	Low	High
m	>23	Engineer & Industrial	third	C+	Central	highschool-mathsci	yes	mid	low	high	high	high	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	second	B	NorthEast	highschool-mathsci	no	high	mid	high	mid	mid	Mid	Mid	Low	High	Low	High	Low	High
m	>23	Engineer & Industrial	second	B+	Central	highschool-mathsci	no	high	mid	high	mid	high	Mid	Mid	High	Low	Low	High	Mid	Mid
m	>23	Engineer & Industrial	first	B	East	highschool-mathsci	yes	high	mid	high	high	high	Mid	Mid	High	Low	Low	High	High	Low
m	>23	Engineer & Industrial	first	C+	South	highschool-mathsci	no	high	mid	mid	mid	high	Low	High	Low	High	High	Low	Low	High
m	>23	Engineer & Industrial	first	B+	Central	highschool-mathsci	no	mid	high	mid	mid	mid	Low	High	Mid	Mid	Mid	Mid	Mid	Mid
f	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	yes	high	mid	mid	mid	mid	High	Low	Low	High	Low	High	Mid	Mid
f	>23	Engineer & Industrial	first	C	East	highschool-mathsci	yes	high	mid	high	mid	high	High	Low	Mid	Mid	Mid	Mid	Mid	Mid
m	>23	Engineer & Industrial	third	C+	NorthEast	highschool-mathsci	no	mid	high	high	mid	high	Low	High	Mid	Mid	Mid	Mid	Low	High
f	>23	Engineer & Industrial	first	B	Central	highschool-mathsci	yes	mid	low	mid	mid	mid	High	Low	Mid	Mid	Mid	Mid	Low	High
f	>23	Engineer & Industrial	second	B	NorthEast	highschool-mathsci	yes	high	low	high	mid	mid	Mid	Mid	Mid	Mid	High	Low	High	Low
m	>23	Engineer & Industrial	third	C+	East	highschool-mathsci	yes	mid	low	mid	mid	high	High	Low	Low	High	Mid	Mid	High	Low
m	>23	Engineer & Industrial	first	C+	Central	highschool-mathsci	yes	high	mid	mid	high	high	Low	High	Low	High	Low	High	Mid	Mid
m	>23	Engineer & Industrial	second	B	West	highschool-mathsci	yes	high	mid	high	mid	mid	Low	High	Low	High	Low	High	Mid	Mid
m	35+	Sciences & Maths	completed	C	NorthEast	highschool-mathsci	yes	high	mid	high	high	high	High	Low	High	Low	High	Low	High	Low
