sex,Age,major group3,year,gpax,Region,previous-edu,uni-activity,influ-major,influ-people,influ-wellknown,influ-quality,influ-careermarket,TYPE
f,23-28,Business and Law,first,C+,North,highvocational,no,mid,mid,high,mid,low,ISFJ
LGBT,23-28,Health ,second,B+,North,highschool-mathsci,no,mid,high,high,high,high,INFP
m,>23,Engineer & Industrial,third,C+,East,highschool-mathsci,yes,high,high,high,mid,high,ISFJ
m,>23,Engineer & Industrial,third,C+,East,highschool-mathsci,yes,mid,mid,high,high,high,ESTP
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,mid,mid,high,ESTJ
f,>23,Engineer & Industrial,third,B,East,highschool-mathsci,yes,mid,high,high,mid,high,ESTJ
f,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,yes,mid,high,high,mid,mid,ISTJ
m,>23,Engineer & Industrial,third,C+,North,highschool-mathsci,yes,mid,mid,high,high,high,ESFJ
f,>23,Engineer & Industrial,third,B,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,ESFP
f,>23,Engineer & Industrial,third,B,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,ISTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,yes,mid,mid,mid,mid,high,ESTP
f,>23,Engineer & Industrial,third,B,West,highschool-mathsci,yes,mid,mid,mid,high,high,ISTP
f,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,high,mid,mid,mid,high,ISTP
f,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,high,high,high,ESFP
f,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,yes,mid,mid,mid,mid,high,ESFJ
m,>23,Engineer & Industrial,third,B,South,highschool-mathsci,yes,mid,mid,high,high,high,ESTP
m,>23,Engineer & Industrial,third,C+,West,highschool-mathsci,yes,mid,high,low,high,high,ENTP
f,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,mid,low,mid,ESTP
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,high,mid,low,high,ENTP
m,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,ESTJ
f,>23,Engineer & Industrial,third,B,South,highschool-mathsci,yes,mid,mid,mid,high,mid,ESTJ
f,>23,Engineer & Industrial,third,B,Central,highschool-mathsci,yes,mid,low,low,high,high,ESTJ
m,>23,Education,second,B,Central,highschool-art,yes,low,low,high,high,mid,INFP
f,>23,Health ,second,B,North,highschool-mathsci,yes,high,high,high,high,high,ESTJ
f,>23,Education,second,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,mid,ESTJ
LGBT,>23,Arts & Humanities,third,B+,North,highschool-mathsci,yes,high,low,high,high,high,ENTP
f,>23,Education,second,B,Central,highschool-mathsci,yes,mid,high,low,high,low,ESTP
m,23-28,Arts & Humanities,forth,B+,North,highschool-art,yes,high,high,mid,high,high,ESFJ
f,>23,Education,second,B,Central,highschool-art,yes,low,low,mid,mid,high,INTJ
m,23-28,Engineer & Industrial,completed,B+,Central,highvocational,yes,high,high,high,high,high,ESTJ
m,>23,Education,second,C+,East,highschool-art,yes,mid,high,mid,high,mid,ESFP
f,>23,Education,second,B,North,highschool-art,yes,mid,low,mid,low,high,ENFP
f,23-28,Engineer & Industrial,third,B+,Central,vocational,yes,high,high,high,mid,mid,INFJ
f,>23,Education,second,B,Central,highschool-mathsci,yes,mid,mid,high,mid,mid,ESTJ
f,>23,Education,second,B+,Central,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Education,second,B,East,highschool-art,yes,low,mid,high,high,high,ISFJ
LGBT,>23,Education,second,B,Central,highschool-mathsci,yes,mid,low,mid,mid,low,ENTJ
LGBT,23-28,Education,first,C+,NorthEast,non-formal,no,high,mid,high,high,mid,ISTJ
LGBT,23-28,Education,completed,B,North,highschool-mathsci,no,mid,low,low,low,low,ENTP
m,>23,Arts & Humanities,completed,B+,West,highschool-art,no,mid,low,mid,mid,mid,ISFP
m,23-28,Engineer & Industrial,forth,B,North,highvocational,yes,mid,high,high,mid,high,ISFP
m,23-28,ICTs,third,B,NorthEast,highvocational,yes,mid,high,high,mid,low,ISFP
LGBT,>23,Arts & Humanities,third,C+,NorthEast,highschool-art,yes,mid,high,mid,low,mid,ISFP
m,>23,Engineer & Industrial,first,C+,NorthEast,highvocational,yes,mid,mid,low,mid,mid,ESTP
m,>23,Engineer & Industrial,first,B,NorthEast,vocational,yes,low,high,mid,high,high,ESTP
m,>23,Engineer & Industrial,first,B,North,highvocational,yes,mid,high,high,high,low,ESTJ
m,>23,Engineer & Industrial,first,B,North,vocational,yes,mid,high,mid,mid,mid,ESTJ
m,>23,Engineer & Industrial,first,B,North,highvocational,yes,mid,high,mid,mid,low,ENTP
m,>23,Engineer & Industrial,first,C+,North,highvocational,no,low,mid,high,high,mid,ISFJ
m,>23,Engineer & Industrial,first,B,North,highvocational,no,high,mid,mid,mid,mid,ISTJ
m,>23,Engineer & Industrial,first,B,North,highvocational,yes,low,mid,mid,high,mid,ESTP
m,>23,Engineer & Industrial,first,B+,North,highvocational,no,mid,mid,mid,low,mid,ESTP
m,>23,Engineer & Industrial,first,B+,North,highvocational,no,mid,mid,mid,high,mid,ESFJ
f,>23,Social sciences & Journal,second,B,North,vocational,yes,high,high,mid,mid,high,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,yes,mid,mid,low,mid,mid,ENTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,high,high,mid,mid,mid,ESTJ
f,>23,Social sciences & Journal,second,B+,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,low,low,low,mid,ENTP
m,>23,Business and Law,second,B+,North,vocational,yes,high,high,high,high,high,ESTJ
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,mid,mid,mid,mid,ESFJ
m,>23,Arts & Humanities,second,B,North,highschool-mathsci,yes,high,low,high,high,mid,ESTJ
LGBT,>23,ICTs,second,C+,North,highschool-art,yes,mid,high,high,high,mid,ESTJ
f,>23,Social sciences & Journal,second,C+,North,vocational,yes,mid,mid,mid,mid,low,INTP
LGBT,23-28,Arts & Humanities,forth,B+,Central,vocational,yes,high,low,mid,high,mid,ENTJ
f,>23,Social sciences & Journal,second,B,West,highschool-art,yes,mid,high,mid,low,high,ESFJ
LGBT,>23,Business and Law,first,B,Central,highschool-mathsci,no,low,high,low,mid,high,ISFJ
f,>23,Social sciences & Journal,second,B,North,vocational,no,mid,low,mid,mid,low,ESTJ
f,23-28,Engineer & Industrial,forth,B,North,highschool-mathsci,yes,high,mid,mid,high,mid,ESTJ
LGBT,23-28,Engineer & Industrial,first,B,NorthEast,highvocational,yes,high,high,high,high,high,ENFP
LGBT,23-28,Social sciences & Journal,third,B,NorthEast,highschool-art,yes,mid,high,mid,low,low,ISFJ
m,>23,Engineer & Industrial,second,B+,North,highschool-mathsci,yes,high,high,high,high,high,INFJ
LGBT,23-28,Business and Law,first,B+,NorthEast,non-formal,no,mid,mid,high,low,low,INTP
f,>23,Arts & Humanities,second,B,North,vocational,yes,high,mid,high,high,high,ENTJ
f,>23,Health ,first,B+,Central,highschool-mathsci,no,high,low,high,mid,high,ENTP
f,>23,Social sciences & Journal,second,B,North,vocational,yes,mid,high,mid,high,mid,ENFJ
f,>23,Social sciences & Journal,second,B,North,highschool-art,no,low,high,mid,mid,low,ESTP
f,>23,Health ,first,B+,NorthEast,highschool-mathsci,no,mid,mid,high,mid,low,ENTJ
m,23-28,Engineer & Industrial,third,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Arts & Humanities,second,C+,North,highschool-mathsci,yes,high,high,high,high,mid,ESTJ
f,>23,Business and Law,forth,B,North,highschool-art,yes,mid,mid,low,mid,high,ENTJ
f,>23,Business and Law,forth,C+,North,highschool-art,yes,mid,low,mid,mid,mid,ESFJ
f,>23,Business and Law,forth,B+,North,highschool-art,yes,mid,mid,high,mid,low,ESTJ
m,>23,Health ,first,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ISFJ
f,>23,Business and Law,forth,B,North,highschool-art,yes,mid,mid,mid,mid,mid,ESFJ
f,>23,Arts & Humanities,second,B,NorthEast,highschool-art,no,high,low,high,low,mid,ISTJ
f,>23,Business and Law,forth,B,North,highschool-art,yes,mid,low,mid,mid,mid,ESFP
m,>23,Business and Law,third,B,Central,highvocational,yes,high,high,high,high,high,ESTJ
f,>23,Sciences & Maths,second,B,NorthEast,highschool-art,no,high,low,low,high,mid,ESFP
LGBT,>23,Business and Law,forth,C+,North,highschool-art,yes,high,mid,mid,mid,mid,ESTJ
m,>23,Sciences & Maths,first,B+,NorthEast,highschool-mathsci,yes,high,high,high,high,mid,ESTJ
f,23-28,Sciences & Maths,first,C+,NorthEast,highschool-art,no,mid,high,mid,high,mid,ISTJ
f,23-28,Business and Law,forth,B,Central,highvocational,yes,high,high,mid,high,mid,ESTJ
f,23-28,Business and Law,second,B,Central,vocational,yes,high,mid,high,high,mid,ESTJ
f,>23,Education,third,B,NorthEast,highschool-art,no,mid,mid,high,high,low,ESFJ
m,23-28,Business and Law,forth,B+,Central,bachelor,yes,high,high,high,high,high,ESTJ
LGBT,>23,Education,first,B,East,highschool-mathsci,no,low,high,mid,low,mid,ENFJ
m,23-28,Business and Law,forth,B,North,highvocational,yes,mid,high,high,high,high,ESTJ
m,>23,Education,second,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Business and Law,forth,B,North,highschool-art,yes,mid,high,mid,low,high,ENTP
f,>23,Arts & Humanities,first,B,South,highschool-art,no,high,low,high,high,low,INFP
f,>23,Business and Law,first,C+,North,vocational,yes,high,high,high,high,high,ESTJ
f,>23,Business and Law,forth,B,North,highschool-art,yes,mid,high,high,mid,mid,ESFJ
f,>23,Business and Law,first,B+,North,highschool-art,yes,high,mid,high,high,high,ESTJ
f,>23,Business and Law,forth,B,North,highschool-art,no,mid,mid,mid,mid,mid,ENTP
f,>23,Arts & Humanities,first,B,South,highschool-art,no,high,mid,high,high,mid,ENTJ
LGBT,>23,Business and Law,third,B,North,vocational,yes,high,mid,high,high,high,ESTJ
f,23-28,Health ,third,B+,Central,highschool-mathsci,yes,high,mid,high,high,high,ESTJ
f,>23,Business and Law,forth,C+,North,highschool-art,yes,mid,mid,high,low,mid,ENTJ
f,>23,Social sciences & Journal,second,B,South,highschool-art,no,mid,high,mid,mid,mid,INFJ
m,23-28,Business and Law,forth,B+,North,highvocational,yes,high,high,high,high,high,ESTJ
LGBT,>23,Sciences & Maths,third,B,South,highschool-art,no,low,low,high,mid,low,ENTP
f,23-28,Education,completed,B+,North,highschool-mathsci,yes,high,mid,high,high,high,ESFJ
f,>23,Business and Law,third,B+,North,highvocational,yes,high,high,high,high,high,ESTJ
f,>23,Sciences & Maths,first,B,South,highschool-art,no,mid,high,mid,low,low,ENTP
m,23-28,Social sciences & Journal,third,B,North,vocational,yes,high,mid,high,high,mid,ESTJ
LGBT,>23,Business and Law,third,B,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Education,first,B,West,highschool-mathsci,no,mid,mid,mid,high,mid,ESTP
m,>23,Business and Law,third,B,North,highvocational,yes,high,high,high,high,high,ESTJ
f,23-28,Social sciences & Journal,completed,B+,East,vocational,yes,high,high,mid,high,mid,ESTJ
f,>23,Education,second,B,Central,highschool-mathsci,no,mid,high,high,high,mid,ESFP
m,23-28,Business and Law,third,B+,West,highvocational,yes,high,high,high,high,high,ESTJ
f,>23,Business and Law,first,B+,North,vocational,yes,high,mid,high,high,high,ESTJ
f,>23,Arts & Humanities,first,B,West,highschool-art,no,mid,high,high,high,low,ISTP
LGBT,>23,Business and Law,third,C+,North,vocational,yes,mid,low,mid,mid,mid,ISTJ
m,>23,Sciences & Maths,second,B,North,highvocational,yes,high,high,high,high,high,ESTJ
f,>23,Arts & Humanities,first,B,Central,highschool-art,no,mid,high,mid,low,low,INTP
f,>23,Business and Law,third,B,North,vocational,yes,low,mid,mid,high,mid,ISFJ
f,>23,Business and Law,first,B+,Central,highvocational,yes,high,mid,high,high,high,ESTJ
m,>23,Business and Law,third,C+,North,vocational,yes,low,low,high,mid,high,ESTP
f,23-28,Sciences & Maths,forth,B+,North,highvocational,yes,high,high,high,high,high,ESTP
LGBT,>23,Business and Law,third,B,North,highschool-art,yes,high,high,high,low,mid,ENTP
f,>23,Education,first,B,Central,highschool-mathsci,no,mid,high,high,high,mid,ESTJ
LGBT,>23,Arts & Humanities,second,B+,Central,highschool-art,yes,high,high,high,high,high,ESTJ
m,>23,Sciences & Maths,forth,B,North,highvocational,yes,high,high,high,mid,mid,ESFP
f,>23,Arts & Humanities,first,B,Central,highschool-mathsci,no,mid,mid,high,high,mid,ISFP
LGBT,23-28,Sciences & Maths,third,B,North,vocational,yes,high,high,high,high,high,ESTJ
f,>23,Business and Law,third,B,North,highschool-art,yes,high,mid,high,mid,mid,ENTJ
m,>23,Sciences & Maths,third,B,North,vocational,yes,high,high,high,high,high,ESTJ
f,>23,Business and Law,third,C+,North,highschool-art,no,low,mid,high,high,low,ESTP
f,>23,Sciences & Maths,second,B,North,highvocational,yes,high,high,high,high,mid,ESTJ
m,23-28,Engineer & Industrial,second,B,North,highvocational,yes,mid,high,high,high,high,ESTJ
m,>23,Business and Law,third,B+,North,highschool-art,no,mid,mid,mid,mid,mid,ESFJ
m,23-28,Sciences & Maths,third,B,North,highvocational,yes,high,high,high,high,high,ESTJ
m,>23,Business and Law,third,B,North,highschool-art,yes,high,low,mid,mid,high,INFJ
LGBT,>23,Business and Law,third,B,North,highschool-art,yes,mid,mid,mid,mid,mid,ENTJ
f,>23,Sciences & Maths,third,B,North,highvocational,yes,high,high,high,low,mid,ESTP
f,>23,Business and Law,third,B,North,highschool-art,yes,mid,high,mid,high,mid,ISTJ
m,23-28,Sciences & Maths,third,B,North,highvocational,yes,high,high,mid,high,high,ESTP
f,>23,Sciences & Maths,second,B,North,highvocational,yes,low,high,high,high,high,ESFP
LGBT,>23,Sciences & Maths,third,B,North,highvocational,yes,high,high,high,high,low,ESTJ
f,>23,Sciences & Maths,third,B,North,highvocational,yes,mid,high,high,high,high,ESTJ
LGBT,23-28,Sciences & Maths,forth,B,North,highvocational,yes,mid,mid,mid,high,high,ISFJ
f,>23,Sciences & Maths,first,B,North,vocational,yes,high,mid,low,high,low,ESTJ
m,23-28,Sciences & Maths,third,B,North,vocational,yes,high,high,high,high,high,ESTJ
m,23-28,Sciences & Maths,third,B,North,vocational,yes,high,mid,high,mid,mid,ESFP
f,23-28,Sciences & Maths,forth,B,North,highvocational,yes,high,high,mid,low,mid,ESTJ
f,>23,Sciences & Maths,second,B,North,vocational,yes,high,low,mid,high,high,ESTJ
m,>23,Sciences & Maths,second,C+,North,vocational,yes,mid,mid,mid,high,high,ESTJ
f,>23,Sciences & Maths,second,C+,North,vocational,yes,high,low,mid,high,high,ESTJ
f,>23,Sciences & Maths,third,B,North,vocational,yes,high,mid,high,high,high,ESTJ
m,>23,Sciences & Maths,third,C+,North,highvocational,yes,high,mid,mid,high,high,ENFJ
f,>23,Sciences & Maths,third,C+,North,vocational,yes,high,mid,low,high,high,ENTP
LGBT,>23,Sciences & Maths,second,B,North,highvocational,yes,high,high,high,low,mid,ESFP
LGBT,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,mid,mid,mid,mid,INFP
f,>23,Arts & Humanities,second,B,Central,highvocational,yes,high,high,high,high,mid,ENFP
LGBT,23-28,Arts & Humanities,forth,B,Central,vocational,yes,high,high,high,mid,mid,ESTJ
f,23-28,Arts & Humanities,second,B,Central,highvocational,yes,mid,high,high,high,high,ISTJ
f,23-28,Arts & Humanities,third,B,Central,vocational,yes,mid,mid,high,high,mid,ISFP
f,>23,Sciences & Maths,second,B,North,highschool-art,yes,high,mid,mid,mid,mid,INTJ
f,>23,Sciences & Maths,second,B,North,highschool-art,yes,low,mid,low,mid,mid,ESFJ
f,>23,Sciences & Maths,second,C+,North,highschool-art,yes,high,mid,mid,mid,mid,INTJ
m,>23,Sciences & Maths,second,B+,North,highschool-art,yes,high,low,mid,mid,mid,ESTJ
f,>23,Sciences & Maths,second,B,North,highschool-art,yes,low,mid,mid,low,high,ESTJ
f,>23,Sciences & Maths,second,B,North,highschool-art,yes,mid,mid,mid,high,high,ENFJ
f,>23,Sciences & Maths,second,C+,North,highschool-art,yes,mid,mid,low,high,high,ISTP
f,>23,Sciences & Maths,second,B,North,highschool-art,yes,low,mid,mid,low,mid,ISFJ
f,>23,Sciences & Maths,second,B,West,highschool-art,yes,mid,mid,low,mid,low,ENFP
f,>23,Sciences & Maths,second,B,West,highschool-art,yes,mid,low,mid,low,low,ENTP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,low,low,high,ENFJ
m,>23,Arts & Humanities,third,C+,North,highschool-art,yes,low,mid,mid,mid,mid,ISTJ
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,low,mid,high,ISTJ
m,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,low,low,mid,mid,ESTJ
m,>23,Arts & Humanities,third,C+,North,highschool-art,yes,mid,mid,mid,low,high,ENTJ
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,low,low,mid,mid,mid,ISFP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,low,low,mid,mid,mid,ESTJ
f,>23,Arts & Humanities,third,C+,North,highschool-art,yes,mid,mid,low,mid,mid,ISTP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,mid,mid,mid,high,INFP
f,>23,Arts & Humanities,third,B,North,highschool-art,yes,mid,low,mid,mid,mid,ESTP
m,>23,Business and Law,forth,B,Central,highschool-mathsci,yes,low,high,high,mid,high,ENTP
LGBT,>23,Business and Law,forth,C+,Central,highschool-mathsci,yes,low,mid,mid,mid,mid,ENFJ
f,>23,Business and Law,forth,C+,Central,highschool-mathsci,no,mid,high,mid,high,low,ISFJ
LGBT,>23,Business and Law,forth,B,Central,highschool-mathsci,no,mid,mid,high,low,high,ESTJ
LGBT,>23,Business and Law,forth,B,Central,highschool-mathsci,yes,mid,mid,low,high,high,ESFJ
f,>23,Business and Law,forth,C+,Central,highschool-mathsci,yes,mid,high,low,high,mid,ENTJ
f,>23,Business and Law,forth,B,Central,highschool-mathsci,yes,mid,high,mid,high,low,ENTJ
f,>23,Business and Law,forth,B,Central,highschool-mathsci,no,mid,mid,mid,mid,mid,ISTJ
f,>23,Business and Law,forth,C+,Central,highschool-mathsci,no,mid,mid,mid,mid,mid,ESFJ
LGBT,>23,Business and Law,forth,B,Central,highschool-mathsci,yes,high,mid,mid,low,low,ENTJ
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,high,mid,mid,mid,ESFP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,high,high,mid,mid,low,ESTP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,no,low,mid,mid,mid,high,ESTP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,low,low,low,mid,ENFP
f,>23,Arts & Humanities,third,B+,NorthEast,highschool-art,yes,low,low,mid,mid,mid,ENTJ
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,mid,mid,high,mid,ISFP
f,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,high,mid,high,mid,ESTJ
LGBT,>23,Arts & Humanities,third,B,NorthEast,highschool-art,yes,mid,mid,mid,low,low,ENTJ
LGBT,>23,Arts & Humanities,third,C+,NorthEast,highschool-art,yes,low,mid,low,high,mid,ENTJ
LGBT,>23,Arts & Humanities,third,B,NorthEast,highschool-art,no,low,low,low,high,mid,ESFJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,mid,low,high,ESFJ
m,23-28,Social sciences & Journal,forth,B+,East,vocational,yes,high,mid,high,mid,high,ESTJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,low,high,high,ESFJ
m,23-28,Engineer & Industrial,forth,B,North,vocational,yes,high,mid,high,high,high,ESTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,yes,mid,low,mid,low,high,ESTP
m,>23,Engineer & Industrial,second,B,North,vocational,yes,high,high,high,high,high,ESTJ
m,>23,Arts & Humanities,first,B+,Central,vocational,yes,high,mid,high,mid,mid,ENTJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,mid,mid,mid,high,ESTJ
LGBT,>23,Business and Law,first,B+,Central,vocational,yes,high,high,high,high,high,ESTJ
f,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,no,mid,mid,high,high,high,ISFJ
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,no,low,low,mid,mid,high,ENTP
m,23-28,Business and Law,completed,B+,North,highvocational,yes,high,mid,high,high,high,ESTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,no,low,mid,mid,mid,mid,ESTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,no,low,mid,low,mid,mid,ESTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,no,mid,mid,low,mid,high,ESTJ
LGBT,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,yes,mid,high,mid,mid,high,ENTJ
m,>23,Engineer & Industrial,third,C+,NorthEast,highschool-mathsci,yes,low,mid,mid,high,high,ESTP
m,>23,Engineer & Industrial,third,B,NorthEast,highschool-mathsci,yes,mid,low,mid,high,high,ESTJ
m,29-34,Health ,completed,B+,NorthEast,highschool-mathsci,yes,high,mid,mid,mid,mid,ESTJ
f,29-34,Health ,completed,B,NorthEast,highschool-mathsci,yes,high,high,mid,high,high,ESTP
f,29-34,Health ,third,B+,North,bachelor,yes,mid,mid,high,high,high,INFP
f,23-28,Health ,second,A,North,bachelor,no,mid,high,mid,high,high,ENTP
m,29-34,Health ,completed,C+,North,highschool-mathsci,yes,mid,high,mid,high,high,ENTJ
f,35+,Health ,completed,B,Central,non-formal,no,mid,high,mid,mid,high,ENFJ
f,23-28,Social sciences & Journal,completed,A,Central,highschool-art,no,mid,high,mid,mid,high,INFP
f,23-28,Arts & Humanities,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,high,mid,ENFP
m,23-28,Engineer & Industrial,completed,C,South,highschool-mathsci,yes,high,low,high,high,high,ENFP
m,>23,ICTs,second,C,Central,highschool-art,no,mid,low,mid,mid,high,ISFJ
f,29-34,Business and Law,completed,B,Central,highschool-mathsci,no,high,mid,high,mid,mid,ESTJ
m,29-34,Engineer & Industrial,completed,C+,Central,highschool-mathsci,no,high,high,high,high,high,ENTP
f,23-28,Business and Law,completed,C+,East,highschool-mathsci,yes,mid,high,high,high,high,INFP
f,29-34,Arts & Humanities,completed,C+,Central,highschool-art,no,high,high,high,high,high,ISTP
f,23-28,Health ,completed,C+,North,highschool-mathsci,yes,mid,high,high,high,high,ISTP
f,23-28,Health ,completed,B+,North,highschool-mathsci,yes,high,high,mid,high,high,ESFJ
m,>23,Engineer & Industrial,second,B,Central,highschool-mathsci,yes,high,mid,high,high,high,ESFJ
m,23-28,Health ,third,A,South,highschool-mathsci,no,high,high,mid,mid,mid,INFP
f,>23,Health ,third,B,East,highschool-mathsci,no,high,high,mid,low,high,INTJ
f,29-34,Health ,completed,C+,NorthEast,highschool-mathsci,no,mid,high,low,mid,high,INFJ
f,29-34,Health ,completed,C+,NorthEast,highschool-mathsci,yes,mid,high,mid,mid,high,ESFJ
f,>23,Health ,third,B,South,highschool-mathsci,yes,mid,low,high,mid,high,ENTP
f,23-28,Education,completed,C+,NorthEast,highschool-art,yes,mid,high,low,mid,mid,ENTJ
f,23-28,Education,completed,B,NorthEast,highschool-mathsci,yes,mid,high,high,high,mid,ESFJ
f,>23,Health ,third,B+,Central,highschool-mathsci,yes,high,high,mid,mid,high,ESFP
f,23-28,Education,completed,B,NorthEast,highschool-mathsci,yes,high,mid,mid,mid,mid,ENTJ
m,23-28,Education,completed,C+,NorthEast,highschool-art,no,high,low,high,high,mid,ENFJ
f,23-28,Education,completed,B,NorthEast,highschool-mathsci,yes,mid,mid,high,mid,mid,ENFJ
f,>23,Business and Law,third,B,Central,highschool-art,yes,high,mid,high,high,high,ENFJ
f,>23,Health ,third,B,Central,highschool-mathsci,no,mid,low,mid,mid,mid,ESFP
f,35+,Business and Law,completed,B,Central,highschool-art,yes,high,low,high,high,high,ENFP
f,23-28,Arts & Humanities,forth,C+,Central,highschool-art,yes,mid,mid,high,mid,high,ESTP
m,>23,Engineer & Industrial,third,C,South,highschool-mathsci,yes,mid,mid,mid,mid,mid,INTP
m,>23,Engineer & Industrial,third,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,high,INTP
m,>23,Health ,completed,B,Central,highschool-mathsci,no,mid,mid,mid,high,mid,INFP
m,23-28,Business and Law,completed,B,Central,vocational,yes,high,low,mid,mid,high,INFJ
f,>23,Health ,completed,B,Central,highschool-mathsci,yes,high,high,mid,high,high,ISFJ
m,23-28,Health ,completed,B+,Central,highschool-mathsci,yes,low,mid,mid,mid,low,ISFP
f,>23,Health ,forth,C+,NorthEast,highschool-mathsci,no,mid,low,high,mid,high,ENTJ
LGBT,23-28,Education,completed,B,NorthEast,highschool-art,yes,high,high,high,mid,low,ENFP
f,>23,Health ,completed,B,Central,highschool-mathsci,no,high,mid,mid,mid,high,ISFP
f,>23,Health ,completed,B,Central,highschool-mathsci,yes,high,low,mid,mid,high,ISFP
f,23-28,Health ,forth,C+,South,highschool-mathsci,no,high,low,high,high,high,ESFP
m,>23,Health ,forth,C+,NorthEast,highschool-mathsci,no,mid,high,high,high,high,ESFP
f,>23,Health ,completed,B,Central,highschool-mathsci,yes,high,mid,mid,high,high,ISFP
f,23-28,Health ,completed,B,Central,highschool-mathsci,no,high,mid,high,mid,high,ISFJ
f,29-34,Social sciences & Journal,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,mid,low,ISFP
f,23-28,ICTs,completed,C+,Central,vocational,no,mid,low,low,low,high,ENTP
f,>23,Health ,third,B,Central,highschool-mathsci,yes,mid,high,high,mid,mid,INFP
f,>23,Arts & Humanities,second,C,South,highschool-art,yes,low,high,high,high,high,ENFP
f,>23,Health ,completed,B,Central,highschool-mathsci,yes,low,high,mid,mid,mid,INFP
f,>23,Health ,third,B,East,highschool-mathsci,no,mid,mid,mid,high,high,ESFP
f,>23,Health ,completed,B,NorthEast,highschool-mathsci,no,high,low,low,mid,high,INFJ
LGBT,>23,Health ,completed,C+,Central,highschool-mathsci,yes,mid,mid,mid,high,mid,INFP
LGBT,>23,Health ,third,C+,East,highschool-mathsci,yes,high,mid,mid,mid,mid,ISFP
f,>23,Engineer & Industrial,forth,C+,North,highschool-mathsci,yes,mid,mid,mid,low,high,ISTJ
m,23-28,Education,completed,B,NorthEast,highschool-mathsci,no,high,mid,mid,mid,low,INFP
f,23-28,Business and Law,completed,B,Central,highschool-art,yes,mid,low,mid,high,high,INFJ
f,23-28,Education,completed,C+,NorthEast,highschool-art,yes,high,high,high,high,high,ENFJ
f,>23,Health ,second,B,NorthEast,highschool-mathsci,yes,high,mid,mid,mid,mid,ESFP
f,23-28,Education,completed,C+,NorthEast,highschool-mathsci,yes,mid,high,high,high,mid,INFP
f,>23,Health ,completed,B+,Central,highschool-mathsci,no,mid,mid,high,high,high,INFP
LGBT,23-28,Social sciences & Journal,completed,B,Central,vocational,no,high,low,low,high,mid,INTJ
f,>23,Health ,completed,B,Central,highschool-mathsci,no,mid,high,mid,high,mid,ESTP
